id	filename	md5	size	state
0102ffb2-a483-4215-a97e-facec20945e2	0102ffb2-a483-4215-a97e-facec20945e2/IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_E05_808438.nocnv_grch38.seg.v2.txt	f2e2d8c8c6556f63634cdda384a83a76	31483	validated
048e12ce-c444-4ea6-9619-3251c1b6b544	048e12ce-c444-4ea6-9619-3251c1b6b544/TAROK_p_TCGA_264_N_GenomeWideSNP_6_E04_1306634.nocnv_grch38.seg.v2.txt	7531a31a30078481c911ce419b555d48	5630	validated
05463d55-1a5d-42ef-98ac-8d2f94f5e339	05463d55-1a5d-42ef-98ac-8d2f94f5e339/PALLS_p_TCGASNP_213_N_GenomeWideSNP_6_G08_1148162.nocnv_grch38.seg.v2.txt	bc03e746e7e81c52ff16d6de893efdb2	2920	validated
0727cdd7-da71-4cb6-9499-9c0d27f68cf8	0727cdd7-da71-4cb6-9499-9c0d27f68cf8/TATTY_p_TCGA_b52_156_SNP_N_GenomeWideSNP_6_C08_809006.nocnv_grch38.seg.v2.txt	ba34a30b0ddd4fb564477e855021f850	3201	validated
08fa5dd3-98af-43f4-8a05-98795b07589b	08fa5dd3-98af-43f4-8a05-98795b07589b/NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_D07_914196.nocnv_grch38.seg.v2.txt	01c5eef79c0ea4ada64e6ea041943737	5390	validated
098d06f1-98c1-411b-a3a0-427df2972516	098d06f1-98c1-411b-a3a0-427df2972516/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A02_771554.nocnv_grch38.seg.v2.txt	831c79bdb6b8e8e1f833ace7158a6ed5	10323	validated
0ab3bad8-044e-4054-ab5a-f1ddafc04cec	0ab3bad8-044e-4054-ab5a-f1ddafc04cec/BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_G06_1039612.nocnv_grch38.seg.v2.txt	e0ea8cbaa1bbd9e6d96bd741d7fb7a16	3058	validated
0ce25d61-ef19-4aa5-89bb-a7b9049ed879	0ce25d61-ef19-4aa5-89bb-a7b9049ed879/EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_H06_585168.nocnv_grch38.seg.v2.txt	904254a57d083556bad67a7d736f8adc	16716	validated
23abd97d-9f22-4e69-b924-9030fb63c301	23abd97d-9f22-4e69-b924-9030fb63c301/OCULI_p_TCGA_159_160_SNP_N_GenomeWideSNP_6_G06_831108.nocnv_grch38.seg.v2.txt	834666b476b5e081e23a169b8d446c6d	3869	validated
013e582b-0bd2-4cfc-949d-d39343f5d4a5	013e582b-0bd2-4cfc-949d-d39343f5d4a5/DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_C09_1322472.nocnv_grch38.seg.v2.txt	88ad5e69cadb6aa8a2e98987d56f67c9	11513	validated
015d2d5b-ab58-405e-af25-315f78124838	015d2d5b-ab58-405e-af25-315f78124838/NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_B09_914266.nocnv_grch38.seg.v2.txt	2dccfe915241064338e489be661a627c	7185	validated
48a6c21a-c1bf-4439-a8dc-8685a32f04da	48a6c21a-c1bf-4439-a8dc-8685a32f04da/SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_C12_1244548.nocnv_grch38.seg.v2.txt	73168207b75655b040a7ad8cc6dd6c69	17291	validated
016daa20-b380-4141-852e-f45e1ff091d3	016daa20-b380-4141-852e-f45e1ff091d3/GLYPH_p_TCGA_135_141_166_SNP_N_GenomeWideSNP_6_B03_902848.nocnv_grch38.seg.v2.txt	7300c550e9f187d4c760e06a3f9b8d45	23698	validated
49c9c83b-4047-4a60-9cff-33a402dd7a01	49c9c83b-4047-4a60-9cff-33a402dd7a01/CYANS_p_TCGAb_422_423_424_NSP_GenomeWideSNP_6_D01_1513898.nocnv_grch38.seg.v2.txt	8e53d32ec3d61a26e14e9ccecc9a6c82	8548	validated
01b190cc-fe73-499b-a78a-de6ef3e92b04	01b190cc-fe73-499b-a78a-de6ef3e92b04/TAROK_p_TCGA_264_N_GenomeWideSNP_6_C04_1306616.nocnv_grch38.seg.v2.txt	5e7e8dcf3d84f52766cf78e90c4f63f8	7928	validated
4a4c4da6-a1b7-4758-9c05-75afb27f81a5	4a4c4da6-a1b7-4758-9c05-75afb27f81a5/LOOBY_p_TCGAb58_SNP_N_GenomeWideSNP_6_A09_680318.nocnv_grch38.seg.v2.txt	7e1ad199e61137f53566fd140070606f	4844	validated
02065661-e191-4829-bbc8-0164ee22e882	02065661-e191-4829-bbc8-0164ee22e882/GLYPH_p_TCGA_135_141_166_SNP_N_GenomeWideSNP_6_G02_902880.nocnv_grch38.seg.v2.txt	7d0a40c6d70a6b7e73fd54c08f25ff84	3878	validated
4b84bfb1-303d-47de-9cb5-c1bf01b95c68	4b84bfb1-303d-47de-9cb5-c1bf01b95c68/OCULI_p_TCGA_159_160_SNP_N_GenomeWideSNP_6_H06_831254.nocnv_grch38.seg.v2.txt	c4f4b59db1a69cc3831e2c08ce540468	3195	validated
0257cfc3-12ca-4ee7-8f7a-00bb4101b43b	0257cfc3-12ca-4ee7-8f7a-00bb4101b43b/IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_C12_808460.nocnv_grch38.seg.v2.txt	885139aacca9737a45e7193fbf8767e0	3333	validated
02ef34eb-d4a4-4a58-ba97-a7c5d714e25d	02ef34eb-d4a4-4a58-ba97-a7c5d714e25d/BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_C05_1039610.nocnv_grch38.seg.v2.txt	5ac0be1abf17d73eaa533a9d221ea375	3210	validated
